"group","measure","mean","lower","upper","total_mean","total_lower","total_upper","direct_mean","direct_lower","direct_upper","indirect_mean","indirect_lower","indirect_upper"
"Rate(Age<12)","total",2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(Age<12)","direct",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(Age<12)","indirect",2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(12<=Age<16)","total",3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(12<=Age<16)","direct",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(12<=Age<16)","indirect",3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<V<50)","total",75,51,102,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<V<50)","direct",73,48,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<V<50)","indirect",2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<UV<50)","total",36,17,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<UV<50)","direct",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(16=<UV<50)","indirect",36,17,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(V>=50)","total",3943,2355,5717,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(V>=50)","direct",3536,1929,5332,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(V>=50)","indirect",407,174,671,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(UV>=50)","total",877,390,1421,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(UV>=50)","direct",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rate(UV>=50)","indirect",877,390,1421,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Overall",NA,NA,NA,NA,4936,2860,7253,3609,2002,5402,1327,780,1929
