group,v,mean,lower,upper,metric
Rate(Age<12),0,0.058055489,0.036940484,0.082712233,PAR
Rate(Age<12),0.4,0.032938087,0.024009763,0.042979877,PAR
Rate(Age<12),0.5215,0.013608258,0.011427443,0.016209926,PAR
Rate(Age<12),0.6,0.006168157,0.004465021,0.008469836,PAR
Rate(12<=Age<16),0,0.057637364,0.035074266,0.082481121,PAR
Rate(12<=Age<16),0.4,0.030009389,0.020790738,0.040076163,PAR
Rate(12<=Age<16),0.5215,0.011988987,0.009816915,0.014600843,PAR
Rate(12<=Age<16),0.6,0.005490639,0.003800109,0.00773478,PAR
Rate(16=<V<50),0,0.010953773,0.006783116,0.015649216,PAR
Rate(16=<V<50),0.4,0.006861707,0.004852163,0.009069643,PAR
Rate(16=<V<50),0.5215,0.004155361,0.003498574,0.004923212,PAR
Rate(16=<V<50),0.6,0.002665477,0.001965211,0.003552441,PAR
Rate(16=<UV<50),0,0.064475763,0.044148425,0.087673714,PAR
Rate(16=<UV<50),0.4,0.040644607,0.03072162,0.050948235,PAR
Rate(16=<UV<50),0.5215,0.019072147,0.016538934,0.021953436,PAR
Rate(16=<UV<50),0.6,0.009325026,0.007031976,0.012175698,PAR
Rate(V>=50),0,0.011223873,0.006787313,0.016172674,PAR
Rate(V>=50),0.4,0.00661883,0.00439627,0.009057506,PAR
Rate(V>=50),0.5215,0.003248102,0.002569824,0.004075886,PAR
Rate(V>=50),0.6,0.001722709,0.001152578,0.002509458,PAR
Rate(UV>=50),0,0.058382103,0.035979947,0.08355093,PAR
Rate(UV>=50),0.4,0.033786792,0.021869006,0.047025689,PAR
Rate(UV>=50),0.5215,0.012786157,0.009648582,0.016800087,PAR
Rate(UV>=50),0.6,0.005334988,0.003268302,0.008383287,PAR
16-49 (FV vs NFV),0,0.824812778,0.714680399,0.90297393,relative_reduction
50+ (FV vs NFV),0,0.798642067,0.649053628,0.895390024,relative_reduction
16-49 (FV vs NFV),0.4,0.828348746,0.749513057,0.88873427,relative_reduction
50+ (FV vs NFV),0.4,0.796676582,0.667320417,0.883666456,relative_reduction
16-49 (FV vs NFV),0.5215,0.780971145,0.728388796,0.825781879,relative_reduction
50+ (FV vs NFV),0.5215,0.740912303,0.636060377,0.82113467,relative_reduction
16-49 (FV vs NFV),0.6,0.708603169,0.575682062,0.8094901,relative_reduction
50+ (FV vs NFV),0.6,0.658117687,0.405310103,0.822948061,relative_reduction
