"group","v","mean","lower","upper","metric"
"Rate(Age<12)",0,0.0581844043213703,0.0371967005764107,0.0824261072175215,"PI"
"Rate(Age<12)",0.4,0.0329743073906551,0.0240218971382865,0.0426215386883605,"PI"
"Rate(Age<12)",0.5215,0.0136106294407064,0.0114729014248777,0.0161549696507005,"PI"
"Rate(Age<12)",0.6,0.00617105772677328,0.00445864754270111,0.00839900375145241,"PI"
"Rate(12<=Age<16)",0,0.0576373644510838,0.0350742656122589,0.082481120525756,"PI"
"Rate(12<=Age<16)",0.4,0.0300093894373959,0.0207907381297119,0.0400761632598375,"PI"
"Rate(12<=Age<16)",0.5215,0.0119889867613164,0.00981691480009785,0.0146008433922696,"PI"
"Rate(12<=Age<16)",0.6,0.00549063898456863,0.00380010921212014,0.00773477977130037,"PI"
"Rate(16=<V<50)",0,0.0109320700852113,0.00677703630293255,0.015661209553052,"PI"
"Rate(16=<V<50)",0.4,0.00684749827469972,0.00482807853377618,0.00906507997840717,"PI"
"Rate(16=<V<50)",0.5215,0.00415269728517618,0.00349089775632155,0.00492865399343429,"PI"
"Rate(16=<V<50)",0.6,0.00266926700088263,0.00195488689727177,0.00357881541956709,"PI"
"Rate(16=<UV<50)",0,0.0645140259769705,0.0441527871305845,0.0874726130310105,"PI"
"Rate(16=<UV<50)",0.4,0.0405714929620422,0.0307437166566887,0.0508359976579457,"PI"
"Rate(16=<UV<50)",0.5215,0.0190541277078747,0.0165205536340808,0.0218808915693482,"PI"
"Rate(16=<UV<50)",0.6,0.00933367988796911,0.00705111669612176,0.0121970176880228,"PI"
"Rate(V>=50)",0,0.0112410449178255,0.00689785502355625,0.0161903517275154,"PI"
"Rate(V>=50)",0.4,0.0066275027580708,0.00441373533287314,0.00908210880624038,"PI"
"Rate(V>=50)",0.5215,0.00325143497685053,0.00256443067157882,0.00409121850660976,"PI"
"Rate(V>=50)",0.6,0.00172419173833149,0.0011475852137566,0.00251374767325296,"PI"
"Rate(UV>=50)",0,0.0586241242864074,0.0361257693712412,0.0837689943236399,"PI"
"Rate(UV>=50)",0.4,0.0338486467839496,0.0220356108427628,0.0473704780432294,"PI"
"Rate(UV>=50)",0.5215,0.0127950807929899,0.00966583595878302,0.0168611796437885,"PI"
"Rate(UV>=50)",0.6,0.00534107857833891,0.00326849126665017,0.00831064739237774,"PI"
"16-49 (FV vs NFV)",0,0.825275661532955,0.715647697255994,0.904019376921467,"relative_reduction"
"50+ (FV vs NFV)",0,0.799099356932526,0.650335004176986,0.895920277959514,"relative_reduction"
"16-49 (FV vs NFV)",0.4,0.828458219105508,0.749626940075446,0.88859666079687,"relative_reduction"
"50+ (FV vs NFV)",0.4,0.796548272211308,0.665694772595576,0.884140068277377,"relative_reduction"
"16-49 (FV vs NFV)",0.5215,0.780944056665161,0.728796659485478,0.825204217582078,"relative_reduction"
"50+ (FV vs NFV)",0.5215,0.740694145423619,0.635375057742964,0.823160128421093,"relative_reduction"
"16-49 (FV vs NFV)",0.6,0.708397924073488,0.573547111590422,0.810776797000026,"relative_reduction"
"50+ (FV vs NFV)",0.6,0.658222096937639,0.401262988099284,0.82287563231741,"relative_reduction"
