"Model","Parameter","Rhat"
"Rate(Age<12)","L",1.00038108931446
"Rate(Age<12)","k",1.00027605496873
"Rate(Age<12)","x0",1.00017457639552
"Rate(Age<12)","phi",1.00021201939849
"Rate(Age<12)","mu[1]",1.00020918357809
"Rate(Age<12)","mu[2]",1.00002359965974
"Rate(Age<12)","mu[3]",1.00019240519185
"Rate(Age<12)","mu[4]",1.00007541168129
"Rate(Age<12)","mu[5]",0.99999702038273
"Rate(Age<12)","mu[6]",1.00027462916646
"Rate(Age<12)","mu[7]",1.00025596857056
"Rate(Age<12)","mu[8]",1.00026704452243
"Rate(Age<12)","mu[9]",1.00000798207732
"Rate(Age<12)","mu[10]",1.00015220099938
"Rate(Age<12)","mu[11]",1.00010035728481
"Rate(Age<12)","mu[12]",1.00008918000898
"Rate(Age<12)","mu[13]",1.00024503865526
"Rate(Age<12)","mu[14]",1.00008282513777
"Rate(Age<12)","mu[15]",1.00021086805672
"Rate(Age<12)","mu[16]",0.999981243040244
"Rate(Age<12)","mu[17]",1.00022504750603
"Rate(Age<12)","mu[18]",0.999989043978666
"Rate(Age<12)","mu[19]",1.00015756477696
"Rate(Age<12)","mu[20]",1.00011408807773
"Rate(Age<12)","mu[21]",1.00015859194298
"Rate(Age<12)","mu[22]",0.999987904130583
"Rate(Age<12)","mu[23]",1.00007071226976
"Rate(Age<12)","mu[24]",1.00003031281252
"Rate(Age<12)","mu[25]",1.00011651445075
"Rate(Age<12)","mu[26]",0.999986038545958
"Rate(Age<12)","mu[27]",1.00021217714852
"Rate(Age<12)","mu[28]",1.00001523822574
"Rate(Age<12)","mu[29]",1.00016319455593
"Rate(Age<12)","mu[30]",1.00016751474431
"Rate(Age<12)","mu[31]",1.00009434978815
"Rate(Age<12)","mu[32]",1.00005591247108
"Rate(Age<12)","mu[33]",1.00001157403871
"Rate(Age<12)","mu[34]",1.00014412982498
"Rate(Age<12)","mu[35]",1.00015086679658
"Rate(Age<12)","mu[36]",0.999996017399807
"Rate(Age<12)","mu[37]",1.00003631663841
"Rate(Age<12)","mu[38]",1.0000260530585
"Rate(Age<12)","mu[39]",1.00019325642002
"Rate(Age<12)","mu[40]",0.999999201723632
"Rate(Age<12)","mu[41]",1.00004584113471
"Rate(Age<12)","mu[42]",1.00016563792231
"Rate(Age<12)","mu[43]",1.00004793586684
"Rate(Age<12)","mu[44]",1.00011451184412
"Rate(Age<12)","mu[45]",1.00002495939868
"Rate(Age<12)","mu[46]",0.999987932717743
"Rate(Age<12)","mu[47]",1.00020374058093
"Rate(Age<12)","mu[48]",1.00025023388169
"Rate(Age<12)","mu[49]",1.00010560324453
"Rate(Age<12)","mu[50]",0.999993961268754
"Rate(Age<12)","mu[51]",1.00023901491578
"Rate(Age<12)","mu[52]",1.00020148189605
"Rate(Age<12)","mu[53]",1.00019252249322
"Rate(Age<12)","mu[54]",1.00008623007257
"Rate(Age<12)","mu[55]",1.00023982120083
"Rate(Age<12)","mu[56]",1.00018364199481
"Rate(Age<12)","mu[57]",1.0000622061115
"Rate(Age<12)","mu[58]",1.00001458645885
"Rate(Age<12)","mu[59]",1.00017573650092
"Rate(Age<12)","mu[60]",1.00024765544401
"Rate(Age<12)","mu[61]",1.00007248337341
"Rate(Age<12)","mu[62]",1.00015761705025
"Rate(Age<12)","mu[63]",1.00010495352559
"Rate(Age<12)","mu[64]",0.999980756386712
"Rate(Age<12)","mu[65]",1.0001364696639
"Rate(Age<12)","mu[66]",1.00011616850108
"Rate(Age<12)","mu[67]",0.999982057641145
"Rate(Age<12)","lp__",1.00025274677571
"Rate(12<=Age<16)","L",1.00033616967059
"Rate(12<=Age<16)","k",1.00013369106998
"Rate(12<=Age<16)","x0",1.00046907740056
"Rate(12<=Age<16)","phi",0.999926004341323
"Rate(12<=Age<16)","mu[1]",0.999893194120543
"Rate(12<=Age<16)","mu[2]",0.99991470460327
"Rate(12<=Age<16)","mu[3]",0.999885055193587
"Rate(12<=Age<16)","mu[4]",0.9998840529875
"Rate(12<=Age<16)","mu[5]",1.00006407080242
"Rate(12<=Age<16)","mu[6]",0.999980766299707
"Rate(12<=Age<16)","mu[7]",0.999937969297495
"Rate(12<=Age<16)","mu[8]",0.999959053643899
"Rate(12<=Age<16)","mu[9]",1.00007793173236
"Rate(12<=Age<16)","mu[10]",0.999874936862475
"Rate(12<=Age<16)","mu[11]",1.0001054578728
"Rate(12<=Age<16)","mu[12]",1.0001057094035
"Rate(12<=Age<16)","mu[13]",0.999923042119197
"Rate(12<=Age<16)","mu[14]",0.999881569936989
"Rate(12<=Age<16)","mu[15]",0.99989417206098
"Rate(12<=Age<16)","mu[16]",1.00001788109796
"Rate(12<=Age<16)","mu[17]",0.999903806817513
"Rate(12<=Age<16)","mu[18]",1.00004893700311
"Rate(12<=Age<16)","mu[19]",0.999875637669255
"Rate(12<=Age<16)","mu[20]",0.999875002374663
"Rate(12<=Age<16)","mu[21]",0.999875792936029
"Rate(12<=Age<16)","mu[22]",1.00004611562303
"Rate(12<=Age<16)","mu[23]",0.999885828495306
"Rate(12<=Age<16)","mu[24]",1.00009457967215
"Rate(12<=Age<16)","mu[25]",0.999874741343511
"Rate(12<=Age<16)","mu[26]",1.0000408785263
"Rate(12<=Age<16)","mu[27]",0.99989495455448
"Rate(12<=Age<16)","mu[28]",0.999922875582467
"Rate(12<=Age<16)","mu[29]",1.00010430946343
"Rate(12<=Age<16)","mu[30]",0.999877435025907
"Rate(12<=Age<16)","mu[31]",0.999878438968446
"Rate(12<=Age<16)","mu[32]",0.999892533228371
"Rate(12<=Age<16)","mu[33]",1.00008144766715
"Rate(12<=Age<16)","mu[34]",0.999874222367245
"Rate(12<=Age<16)","mu[35]",0.999874790844863
"Rate(12<=Age<16)","mu[36]",0.999949032568532
"Rate(12<=Age<16)","mu[37]",0.999904486909804
"Rate(12<=Age<16)","mu[38]",0.999912546965464
"Rate(12<=Age<16)","mu[39]",1.00010593588888
"Rate(12<=Age<16)","mu[40]",1.00006730079013
"Rate(12<=Age<16)","mu[41]",1.00010080493245
"Rate(12<=Age<16)","mu[42]",0.999877045193344
"Rate(12<=Age<16)","mu[43]",0.999896927572073
"Rate(12<=Age<16)","mu[44]",0.999874954274465
"Rate(12<=Age<16)","mu[45]",1.00009156960169
"Rate(12<=Age<16)","mu[46]",1.0000461894417
"Rate(12<=Age<16)","mu[47]",0.999890246446022
"Rate(12<=Age<16)","mu[48]",0.999929613332681
"Rate(12<=Age<16)","mu[49]",0.999876190465936
"Rate(12<=Age<16)","mu[50]",0.999952877382362
"Rate(12<=Age<16)","mu[51]",0.99991636105136
"Rate(12<=Age<16)","mu[52]",0.999889113772535
"Rate(12<=Age<16)","mu[53]",0.99988510285741
"Rate(12<=Age<16)","mu[54]",0.999880554729908
"Rate(12<=Age<16)","mu[55]",0.999917204066469
"Rate(12<=Age<16)","mu[56]",0.999881823685971
"Rate(12<=Age<16)","mu[57]",0.999889465622652
"Rate(12<=Age<16)","mu[58]",0.999923572760443
"Rate(12<=Age<16)","mu[59]",0.999879433316895
"Rate(12<=Age<16)","mu[60]",0.999926247505493
"Rate(12<=Age<16)","mu[61]",0.999885140443616
"Rate(12<=Age<16)","mu[62]",0.99987564540583
"Rate(12<=Age<16)","mu[63]",1.00010529481354
"Rate(12<=Age<16)","mu[64]",1.00000357962481
"Rate(12<=Age<16)","mu[65]",1.00010422028207
"Rate(12<=Age<16)","mu[66]",0.999874776432876
"Rate(12<=Age<16)","mu[67]",0.99998938101409
"Rate(12<=Age<16)","lp__",1.0003228609686
"Rate(16=<V<50)","L",1.00006651830472
"Rate(16=<V<50)","k",1.00041992046776
"Rate(16=<V<50)","x0",1.00002270805987
"Rate(16=<V<50)","phi",1.00040999415329
"Rate(16=<V<50)","mu[1]",1.00037601204389
"Rate(16=<V<50)","mu[2]",1.00003106834372
"Rate(16=<V<50)","mu[3]",1.0003508674549
"Rate(16=<V<50)","mu[4]",1.00014359290272
"Rate(16=<V<50)","mu[5]",0.999851310679371
"Rate(16=<V<50)","mu[6]",1.00046396069142
"Rate(16=<V<50)","mu[7]",1.00043972657157
"Rate(16=<V<50)","mu[8]",1.00045385468899
"Rate(16=<V<50)","mu[9]",0.999849155231232
"Rate(16=<V<50)","mu[10]",1.00028581249869
"Rate(16=<V<50)","mu[11]",0.999874528101175
"Rate(16=<V<50)","mu[12]",0.999871149872506
"Rate(16=<V<50)","mu[13]",1.00042561848758
"Rate(16=<V<50)","mu[14]",1.00015839752839
"Rate(16=<V<50)","mu[15]",1.00037846861455
"Rate(16=<V<50)","mu[16]",0.999875608706295
"Rate(16=<V<50)","mu[17]",1.00039864995426
"Rate(16=<V<50)","mu[18]",0.999856652144006
"Rate(16=<V<50)","mu[19]",1.00029487009823
"Rate(16=<V<50)","mu[20]",1.00021820098207
"Rate(16=<V<50)","mu[21]",1.00029659160169
"Rate(16=<V<50)","mu[22]",0.999857944952582
"Rate(16=<V<50)","mu[23]",1.00013407250222
"Rate(16=<V<50)","mu[24]",0.999851997275059
"Rate(16=<V<50)","mu[25]",1.00022267517885
"Rate(16=<V<50)","mu[26]",0.999860577535355
"Rate(16=<V<50)","mu[27]",1.00038036909961
"Rate(16=<V<50)","mu[28]",1.00001064000534
"Rate(16=<V<50)","mu[29]",0.999887362838025
"Rate(16=<V<50)","mu[30]",1.00031136836187
"Rate(16=<V<50)","mu[31]",1.00018092124085
"Rate(16=<V<50)","mu[32]",1.00010333881447
"Rate(16=<V<50)","mu[33]",0.999849136497173
"Rate(16=<V<50)","mu[34]",1.00027196906128
"Rate(16=<V<50)","mu[35]",1.00028354180436
"Rate(16=<V<50)","mu[36]",0.99995809362639
"Rate(16=<V<50)","mu[37]",1.00006055024373
"Rate(16=<V<50)","mu[38]",1.00003688850394
"Rate(16=<V<50)","mu[39]",0.999891022432852
"Rate(16=<V<50)","mu[40]",0.999850548215925
"Rate(16=<V<50)","mu[41]",0.999856470748719
"Rate(16=<V<50)","mu[42]",1.00030828679435
"Rate(16=<V<50)","mu[43]",1.00008624491755
"Rate(16=<V<50)","mu[44]",1.00021898408479
"Rate(16=<V<50)","mu[45]",0.999850800543048
"Rate(16=<V<50)","mu[46]",0.999857909997366
"Rate(16=<V<50)","mu[47]",1.00036798903517
"Rate(16=<V<50)","mu[48]",1.00043236883394
"Rate(16=<V<50)","mu[49]",1.00020237024326
"Rate(16=<V<50)","mu[50]",0.999951644150429
"Rate(16=<V<50)","mu[51]",1.00041766726341
"Rate(16=<V<50)","mu[52]",1.00036462171797
"Rate(16=<V<50)","mu[53]",1.00035104746072
"Rate(16=<V<50)","mu[54]",1.00016511283523
"Rate(16=<V<50)","mu[55]",1.00041873986056
"Rate(16=<V<50)","mu[56]",1.00033725497631
"Rate(16=<V<50)","mu[57]",1.00011655464929
"Rate(16=<V<50)","mu[58]",1.00000900339784
"Rate(16=<V<50)","mu[59]",1.00032469910267
"Rate(16=<V<50)","mu[60]",1.00042903005801
"Rate(16=<V<50)","mu[61]",1.00013767326446
"Rate(16=<V<50)","mu[62]",1.00029495780833
"Rate(16=<V<50)","mu[63]",0.999875818189923
"Rate(16=<V<50)","mu[64]",0.999887815473424
"Rate(16=<V<50)","mu[65]",0.99988305379986
"Rate(16=<V<50)","mu[66]",1.0002220386791
"Rate(16=<V<50)","mu[67]",0.999902232485116
"Rate(16=<V<50)","lp__",1.00020232134209
"Rate(16=<UV<50)","L",1.00034004295219
"Rate(16=<UV<50)","k",1.00046497164359
"Rate(16=<UV<50)","x0",1.0007762459318
"Rate(16=<UV<50)","phi",1.00001811780878
"Rate(16=<UV<50)","mu[1]",1.00005872875752
"Rate(16=<UV<50)","mu[2]",1.00010887657475
"Rate(16=<UV<50)","mu[3]",1.00004703580366
"Rate(16=<UV<50)","mu[4]",1.00005190971622
"Rate(16=<UV<50)","mu[5]",1.00032628307711
"Rate(16=<UV<50)","mu[6]",1.00016737330766
"Rate(16=<UV<50)","mu[7]",1.00011782995545
"Rate(16=<UV<50)","mu[8]",1.00014297690793
"Rate(16=<UV<50)","mu[9]",1.00033863334009
"Rate(16=<UV<50)","mu[10]",1.0000324192932
