parameter,mean_post,se_mean,sd,ci_l,25%,50%,75%,ci_u,n_eff,Rhat,group,prior_mu_L,prior_sigma_L
L,0.01671096,8.37E-05,0.005895922,0.007566775,0.01228737,0.015899538,0.020359164,0.030061102,4966.78713,0.999859178,Rate(16=<V<50),0.01,0.01
PAR0,0.01541689,6.93E-05,0.005089037,0.007246887,0.011646778,0.014817088,0.018682508,0.0267336,5387.352464,0.999941333,Rate(16=<V<50),0.01,0.01
L,0.017366751,8.79E-05,0.006371,0.007433819,0.012712079,0.016516589,0.021182511,0.031974155,5258.379827,1.00013913,Rate(V>=50),0.01,0.01
PAR0,0.016629954,8.01E-05,0.005901169,0.007254827,0.012315067,0.015903042,0.020205163,0.030008913,5425.159632,0.999973435,Rate(V>=50),0.01,0.01
L,0.013812481,5.66E-05,0.003997549,0.007361359,0.010872243,0.013355789,0.016355735,0.022618701,4981.889802,1.000496816,Rate(16=<V<50),0.01,0.006
PAR0,0.012972264,4.95E-05,0.003610582,0.007017129,0.010342252,0.012609556,0.015219307,0.020870951,5325.728745,1.000616769,Rate(16=<V<50),0.01,0.006
L,0.014139032,5.65E-05,0.00421693,0.006932776,0.011071389,0.013821846,0.016803704,0.023241419,5563.905923,0.99976075,Rate(V>=50),0.01,0.006
PAR0,0.013671247,5.26E-05,0.003975425,0.006752802,0.01080985,0.013411718,0.016219457,0.022126162,5720.957509,0.999768951,Rate(V>=50),0.01,0.006
L,0.0114588,3.47E-05,0.002419369,0.007117928,0.009722884,0.011307534,0.013061072,0.016534271,4852.633244,1.00032182,Rate(16=<V<50),0.01,0.003
PAR0,0.010934207,3.22E-05,0.002307501,0.006732648,0.009298906,0.010825249,0.012473448,0.015701736,5133.044645,1.000099082,Rate(16=<V<50),0.01,0.003
L,0.0115021,3.30E-05,0.002458529,0.006937071,0.009772023,0.011442074,0.013143485,0.01644455,5545.803456,1.000051933,Rate(V>=50),0.01,0.003
PAR0,0.011220432,3.10E-05,0.002374547,0.006804056,0.009552303,0.011173564,0.012823316,0.015981651,5872.57407,0.99994448,Rate(V>=50),0.01,0.003
L,0.010724972,2.48E-05,0.00174468,0.007419657,0.009504023,0.01067724,0.011900137,0.014210174,4961.457159,0.99986093,Rate(16=<V<50),0.01,0.002
PAR0,0.010269245,2.38E-05,0.001733219,0.006951976,0.009095821,0.010266235,0.011436736,0.013690224,5316.169106,1.000137226,Rate(16=<V<50),0.01,0.002
L,0.010761674,2.32E-05,0.001797829,0.007350209,0.009524546,0.010741388,0.011987002,0.014304043,6026.752509,1.000318011,Rate(V>=50),0.01,0.002
PAR0,0.010513156,2.24E-05,0.001772689,0.007109554,0.009299099,0.010486089,0.011747095,0.01394464,6238.689814,1.000482658,Rate(V>=50),0.01,0.002
L,0.010181363,8.69E-06,0.000959624,0.008310338,0.0095376,0.0101765,0.010827113,0.012102915,12196.01198,1.000170004,Rate(16=<V<50),0.01,0.001
